agent,grid,param_changed,param_value,alpha,episodes,epsilon,epsilon_decay,gamma,iter,sigma,theta
MCAgentOn,A1_grid,epsilon,0.2,,2000.0,0.2,,0.99,2000,0.1,
MCAgentOn,A1_grid,epsilon,0.5,,2000.0,0.5,,0.99,2000,0.1,
MCAgentOn,A1_grid,sigma,0.0,,2000.0,0.1,,0.99,2000,0.0,
MCAgentOn,A1_grid,sigma,0.5,,2000.0,0.1,,0.99,2000,0.5,
MCAgentOn,A1_grid,episodes,5000.0,,5000.0,0.1,,0.99,2000,0.1,
MCAgentOn,A1_grid,iter,5000.0,,2000.0,0.1,,0.99,5000,0.1,
MCAgentOn,Maze,gamma,0.95,,2000.0,0.1,,0.95,2000,0.1,
MCAgentOn,Maze,gamma,0.999,,2000.0,0.1,,0.999,2000,0.1,
MCAgentOn,Maze,epsilon,0.2,,2000.0,0.2,,0.99,2000,0.1,
MCAgentOn,Maze,epsilon,0.5,,2000.0,0.5,,0.99,2000,0.1,
MCAgentOn,Maze,sigma,0.0,,2000.0,0.1,,0.99,2000,0.0,
MCAgentOn,Maze,sigma,0.5,,2000.0,0.1,,0.99,2000,0.5,
MCAgentOn,Maze,episodes,5000.0,,5000.0,0.1,,0.99,2000,0.1,
MCAgentOn,Maze,iter,5000.0,,2000.0,0.1,,0.99,5000,0.1,
MCAgentOn,test_grid,gamma,0.95,,2000.0,0.1,,0.95,2000,0.1,
MCAgentOn,test_grid,gamma,0.999,,2000.0,0.1,,0.999,2000,0.1,
MCAgentOn,test_grid,epsilon,0.2,,2000.0,0.2,,0.99,2000,0.1,
MCAgentOn,test_grid,epsilon,0.5,,2000.0,0.5,,0.99,2000,0.1,
MCAgentOn,test_grid,sigma,0.0,,2000.0,0.1,,0.99,2000,0.0,
MCAgentOn,test_grid,sigma,0.5,,2000.0,0.1,,0.99,2000,0.5,
MCAgentOn,test_grid,episodes,5000.0,,5000.0,0.1,,0.99,2000,0.1,
MCAgentOn,test_grid,iter,5000.0,,2000.0,0.1,,0.99,5000,0.1,
MCAgentOn,large_grid,gamma,0.95,,2000.0,0.1,,0.95,2000,0.1,
MCAgentOn,large_grid,gamma,0.999,,2000.0,0.1,,0.999,2000,0.1,
MCAgentOn,large_grid,epsilon,0.2,,2000.0,0.2,,0.99,2000,0.1,
MCAgentOn,large_grid,epsilon,0.5,,2000.0,0.5,,0.99,2000,0.1,
MCAgentOn,large_grid,sigma,0.0,,2000.0,0.1,,0.99,2000,0.0,
MCAgentOn,large_grid,sigma,0.5,,2000.0,0.1,,0.99,2000,0.5,
MCAgentOn,large_grid,episodes,5000.0,,5000.0,0.1,,0.99,2000,0.1,
MCAgentOn,large_grid,iter,5000.0,,2000.0,0.1,,0.99,5000,0.1,
