agent,grid,param_changed,param_value,alpha,alpha_decay,alpha_min,episodes,epsilon,epsilon_decay,epsilon_min,gamma,iter,sigma,theta
ValueIterationAgent,A1_grid,gamma,0.95,,,,,,,,0.95,2000,0.1,1e-06
ValueIterationAgent,A1_grid,theta,1e-05,,,,,,,,0.9,2000,0.1,1e-05
ValueIterationAgent,A1_grid,sigma,0.0,,,,,,,,0.9,2000,0.0,1e-06
ValueIterationAgent,A1_grid,sigma,0.5,,,,,,,,0.9,2000,0.5,1e-06
ValueIterationAgent,A1_grid,iter,5000.0,,,,,,,,0.9,5000,0.1,1e-06
ValueIterationAgent,Maze,gamma,0.6,,,,,,,,0.6,2000,0.1,1e-06
ValueIterationAgent,Maze,gamma,0.95,,,,,,,,0.95,2000,0.1,1e-06
ValueIterationAgent,Maze,theta,1e-05,,,,,,,,0.9,2000,0.1,1e-05
ValueIterationAgent,Maze,sigma,0.0,,,,,,,,0.9,2000,0.0,1e-06
ValueIterationAgent,Maze,sigma,0.5,,,,,,,,0.9,2000,0.5,1e-06
ValueIterationAgent,Maze,iter,5000.0,,,,,,,,0.9,5000,0.1,1e-06
MCAgentOn,A1_grid,gamma,0.6,0.1,0.99,1e-08,5000.0,0.1,0.99,0.01,0.6,5000,0.1,
MCAgentOn,A1_grid,gamma,0.95,0.1,0.99,1e-08,5000.0,0.1,0.99,0.01,0.95,5000,0.1,
MCAgentOn,A1_grid,alpha,0.05,0.05,0.99,1e-08,5000.0,0.1,0.99,0.01,0.99,5000,0.1,
MCAgentOn,A1_grid,alpha,0.2,0.2,0.99,1e-08,5000.0,0.1,0.99,0.01,0.99,5000,0.1,
MCAgentOn,A1_grid,alpha_decay,0.9,0.1,0.9,1e-08,5000.0,0.1,0.99,0.01,0.99,5000,0.1,
MCAgentOn,A1_grid,alpha_decay,0.99,0.1,0.99,1e-08,5000.0,0.1,0.99,0.01,0.99,5000,0.1,
MCAgentOn,A1_grid,epsilon,0.2,0.1,0.99,1e-08,5000.0,0.2,0.99,0.01,0.99,5000,0.1,
MCAgentOn,A1_grid,epsilon,0.5,0.1,0.99,1e-08,5000.0,0.5,0.99,0.01,0.99,5000,0.1,
MCAgentOn,A1_grid,epsilon_decay,0.5,0.1,0.99,1e-08,5000.0,0.1,0.5,0.01,0.99,5000,0.1,
MCAgentOn,A1_grid,epsilon_decay,0.99,0.1,0.99,1e-08,5000.0,0.1,0.99,0.01,0.99,5000,0.1,
MCAgentOn,A1_grid,sigma,0.0,0.1,0.99,1e-08,5000.0,0.1,0.99,0.01,0.99,5000,0.0,
MCAgentOn,A1_grid,sigma,0.5,0.1,0.99,1e-08,5000.0,0.1,0.99,0.01,0.99,5000,0.5,
MCAgentOn,A1_grid,episodes,5000.0,0.1,0.99,1e-08,5000.0,0.1,0.99,0.01,0.99,5000,0.1,
MCAgentOn,A1_grid,iter,5000.0,0.1,0.99,1e-08,5000.0,0.1,0.99,0.01,0.99,5000,0.1,
MCAgentOn,Maze,gamma,0.6,0.1,0.99,1e-08,5000.0,0.1,0.99,0.01,0.6,5000,0.1,
MCAgentOn,Maze,gamma,0.95,0.1,0.99,1e-08,5000.0,0.1,0.99,0.01,0.95,5000,0.1,
MCAgentOn,Maze,alpha,0.05,0.05,0.99,1e-08,5000.0,0.1,0.99,0.01,0.99,5000,0.1,
MCAgentOn,Maze,alpha,0.2,0.2,0.99,1e-08,5000.0,0.1,0.99,0.01,0.99,5000,0.1,
MCAgentOn,Maze,alpha_decay,0.9,0.1,0.9,1e-08,5000.0,0.1,0.99,0.01,0.99,5000,0.1,
MCAgentOn,Maze,alpha_decay,0.99,0.1,0.99,1e-08,5000.0,0.1,0.99,0.01,0.99,5000,0.1,
MCAgentOn,Maze,epsilon,0.2,0.1,0.99,1e-08,5000.0,0.2,0.99,0.01,0.99,5000,0.1,
MCAgentOn,Maze,epsilon,0.5,0.1,0.99,1e-08,5000.0,0.5,0.99,0.01,0.99,5000,0.1,
MCAgentOn,Maze,epsilon_decay,0.5,0.1,0.99,1e-08,5000.0,0.1,0.5,0.01,0.99,5000,0.1,
MCAgentOn,Maze,epsilon_decay,0.99,0.1,0.99,1e-08,5000.0,0.1,0.99,0.01,0.99,5000,0.1,
MCAgentOn,Maze,sigma,0.0,0.1,0.99,1e-08,5000.0,0.1,0.99,0.01,0.99,5000,0.0,
MCAgentOn,Maze,sigma,0.5,0.1,0.99,1e-08,5000.0,0.1,0.99,0.01,0.99,5000,0.5,
MCAgentOn,Maze,episodes,5000.0,0.1,0.99,1e-08,5000.0,0.1,0.99,0.01,0.99,5000,0.1,
MCAgentOn,Maze,iter,5000.0,0.1,0.99,1e-08,5000.0,0.1,0.99,0.01,0.99,5000,0.1,
